CommentText,Sentiment,Language,LangConf,HasEmoji,Translate,translated,index
"oserais-tu demander une interview à D Trump Hugo ou à un quelqu'un qui est de son côté. pour voir si tu est impartial.tu le ferais Hugo ?
c'est une question hein, juste comme ca",Neutral,fr,0.998930811882019,False,True,"Would you dare to ask for an interview with D Trump Hugo or someone who is on his side. To see if you are impartial. You would do it Hugo?
It's a question huh, just like that",215062
🔥🤩,Positive,pl,0.5666036009788513,True,True,,927528
"😂😂😂 En seco, jamás pega, debe mojarse la superfie….. 😅😅",Negative,es,0.5362921953201294,True,True,"😂😂😂 Dry, never hit, the surface should get wet… .. 😅😅",106519
Les combats contre Ramos et pepe c'était quelque chose...,Neutral,fr,0.9904490113258362,False,True,The fights against Ramos and Pepe was something ...,856525
Yan ang tingin na nagsasabing… “May araw ka rin.”,Neutral,tl,0.8537755608558655,False,True,"That's what it looks like to say ... ""You have a day too.""",533790
As mãos????,Negative,pt,0.9996222257614136,False,True,The hands ????,348188
L'eau en poudre c'est l'avenir,Neutral,fr,0.9978573322296143,False,True,Water powder is the future,832507
"Полупохуй как-то, можно было и хуже.",Neutral,ru,0.9940077066421509,False,True,"Full like some, it was possible and worse.",769661
AMEN GIRL!,Positive,ja,0.3768608868122101,False,True,AMEN GIRL!,312614
BOTHHH,Neutral,no,0.4867520332336426,False,True,Bothhhh,712454
不能仁慈 否則烏軍與外籍軍團戰損嚴重,Negative,zh,0.9729089736938477,True,True,不能仁慈 否則烏軍與外籍軍團戰損嚴重,318176
❤😂😅,Neutral,bg,0.8249877691268921,True,True,,21405
Благодаря тебе стал разбираться в арбитраже и связках),Neutral,ru,0.9958922863006592,False,True,"Thanks to you, he began to understand arbitration and ligaments)",129691
Schoen Meadows,Neutral,nl,0.32063838839530945,False,True,Schoen Meadows,648374
Mahina talaga ang gawa nang china kahit na sa piesa nang bike.,Positive,tl,0.9512940645217896,False,True,China's work is really weak even on the bike.,772906
SEND THE BILL TO THE SIERRA CLUB!!!!,Negative,ja,0.5039889216423035,False,True,SEND THE BILL TO THE SIERRA CLUB!!!!,8725
Mu lên để onana ngồi dự bị,Negative,vi,0.999829888343811,False,True,MU up for Onana to sit on the bench,917226
❤,Positive,bg,0.9654127359390259,True,True,,710313
"КАК ГОВОРИТСЯ, НЕЖИЛИ БОГАТО, НЕ ЧЕ НАЧИНАТЬ. ЗА ВСЁ НАДО ПЛАТИТЬ.
ЖИВЁТЕ КУЧЕРЯВО, ПЛАТИТЕ. 
ДЛЯ БОГАТЫХ, ЭТО УРОК. НАДЕЮСЬ НЕ ПОСЛЕДНИЙ.
ЗАБЫЛИ ПРО ГОСПОДА, ПОЛУЧАЙТЕ. И ПО ДЕЛОМ ТЕМ, КТО ЖИЛ В ДОСТАТКЕ.
ЕСТЬ ЛЮДИ КОТОРЫЕ ЖИВУТ, И ПРОДОЛЖАТ ЖИТЬ, У КОТОРЫХ ВЕКАМИ НИЧЕГО НЕ БЫЛО.
ТЕПЕРЬ БУДИТЕ ЗНАТЬ, ЧТО ТАКОЕ ЖИТЬ, БЕЗ НИЧЕГО.
ХВАЛА ГОСПОДУ БОГУ. КТО ЖИЛ В БОГАТСТВЕ ЖИЛ В ДОСТАТКЕ. ХВАЛА ГОСПОДУ ЧТО У ТАКИХ ЛЮДЕЙ НИЧЕГО НЕ ОСТАЛОСЬ.
ПО ТОМУ КАК ЕСТЬ БЕДНЫЕ, ЖИВУЩИЕ БЕЗ КРОВА ВЕКАМИ.
И ПОВТОРЮСЬ ЕЩЁ РАС, ЭТО БУДЕТ НЕ В ПОСЛЕДНИЙ ЦУНАМИ, ОТ ГОСПОДА БОГА.",Negative,ru,0.8981539607048035,False,True,"As they say, non -residents are richly, do not start. You have to pay for everything.
Live curly, pay. 
For the rich, this is a lesson. I hope not the last.
Forgot about the Lord, get it. And in case, those who lived in abundance.
There are people who live, and continue to live, who have had nothing for centuries.
Now wake up to know what it is to live, without nothing.
Praise the Lord God. Those who lived in wealth lived in abundance. Praise to the Lord that such people have nothing left.
By the way there are poor, living without shelter for centuries.
And I repeat still, it will not be in the last tsunami, from the Lord God.",399673
Бета версия зарядки чтоб получить полную версию заплатите 49.99,Negative,ru,0.9994849562644958,False,True,Beta version of charging to get the full version pay 49.99,495923
❤,Positive,bg,0.9654127359390259,True,True,,711702
在新時代朝鮮大兵不知道怎麼打,Neutral,zh,0.9993942379951477,True,True,在新時代朝鮮大兵不知道怎麼打,710689
❤❤😂,Neutral,bg,0.7354092001914978,True,True,,258424
THIS LECTURE SHOULD BE MANDATORY FOR EVERY AMERICAN!!!!,Positive,ja,0.31112033128738403,False,True,THIS LECTURE SHOULD BE MANDATORY FOR EVERY AMERICAN!!!!,620381
😢😢वाह क्या बात है ऐक हिरण ने गाडी वाले की जान बचा ली 🦌🤗🙌💓😊,Positive,hi,0.9901162981987,True,True,"What is the matter, a deer saved the life of the vehicle?",860309
"Hahaha Hindi Kami boboto kahit anong gawin niyo, duterte kami",Negative,tl,0.4931644797325134,False,True,"Hahaha we won't vote for whatever you do, we're Duterte",201580
Como se llama esa máquina,Neutral,es,0.9648510217666626,False,True,What's the name of that machine,44774
FAcup magic,Positive,de,0.19343072175979614,False,True,FAcup magic,427141
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ estubo muy bien lo que el ISO por ti.,Positive,es,0.9785335063934326,True,True,❤❤❤❤ blaf they,99652
평화가 오래 지속 되다 보니 다시 미쳐가는군,Negative,ko,1.0000699758529663,True,True,"As peace lasts for a long time,",373428
Как ты дожил до своих лет ‘’воин’’!?,Negative,ru,0.9980384707450867,False,True,How did you live up to your age ‘’ Warrior ’’!?,525824
https://youtu.be/UDzuQfrKGVU parkour in Afghanistan.,Neutral,nl,0.19985203444957733,False,True,https://youtu.be/UDzuQfrKGVU parkour in Afghanistan.,812382
Calak calak calak,Neutral,la,0.10757671296596527,False,True,Calak Calak Calak,623305
dhanyawaad !!,Positive,bn,0.13502709567546844,False,True,Dhanyawaad ​​!!,782036
Шокирующие случаи 😮,Positive,ru,0.9973060488700867,True,True,Shocking cases 😮,566375
"4
4
24
*Staggering*!",Neutral,de,0.19174940884113312,False,True,"4
4
24
*Staggering*!",148639
Blah..blah...,Neutral,id,0.2733422815799713,False,True,Blah..blah...,21178
Вайсрой)),Neutral,pl,0.6569517850875854,False,True,Weisre)),83427
❤❤❤❤,Positive,zh,0.5570206642150879,True,True,,813640
❤,Positive,bg,0.9654127359390259,True,True,,479335
Copia barata de laos,Negative,fr,0.28915935754776,False,True,Copy Barata de laos,302091
Rest,Neutral,de,0.2769942581653595,False,True,Rest,272116
"DESPITE THE ECONOMIC CRISIS,THISIS
STILL A GOOD TIME TO INVEST IN STOCK
AND CRYPTO.",Neutral,ja,0.38095685839653015,False,True,"DESPITE THE ECONOMIC CRISIS,THISIS
STILL A GOOD TIME TO INVEST IN STOCK
AND CRYPTO.",144100
Смешные,Negative,ru,1.0000067949295044,False,True,Funny,949974
Как вам Донецк Так 8 лет жил,Negative,ru,0.9974101781845093,False,True,How do you like Donetsk for 8 years,872190
Muito fofinho Acho que até um casal❤❤😊😊,Positive,pt,0.9953114986419678,True,True,Very cute I think even a couple❤❤😊😊,28399
ALLAH O AKBAR MAY ALLAH,Positive,fr,0.6929551959037781,False,True,Allah o Akbar May Allah,461324
Init lng kayo kay  pbbm,Negative,ms,0.2836895287036896,False,True,You are so hot with PBBM,229514
ラテン系の後どうなってもいいから、とりあえず今この瞬間を楽しむ考え方すごく憧れる。,Positive,ja,1.0000131130218506,True,True,"I really admire the way I think about what happens after Latino, and for now I enjoy the moment.",962623
❤,Positive,bg,0.9654127359390259,True,True,,591575
"Да уж,ненасытные.Но есть противоядие,можно просто потребовать Аляску.",Positive,ru,0.9925283789634705,False,True,"Yeah, insatiable. But there is an antidote, you can simply demand Alaska.",462369
🤑🤑🤑,Neutral,ru,0.6082471609115601,True,True,,75671
псевдоним у этого белого баскетболиста ПРОФЕССОР)))КРУТОЙ парень)))))),Positive,ru,0.9084721207618713,False,True,The pseudonym of this white basketball player is a professor))) a cool guy)))))),285167
Now X!!!,Neutral,he,0.17100095748901367,False,True,Now X!!!,139338
"Сегодня смотрела тот ролик, где Андрей схватился с врагом. Жутко. Слава тебе Андрей и всем нашим воинам, защищающим РОДИНУ и народ. НИЗКИЙ ВАМ ПОКЛОН. ХРАНИ ВАС БОГ. ВОЗВРАЩАЙТЕСЬ ЖИВЫМИ И ЗДОРОВЫМИ.",Positive,ru,0.9904834032058716,False,True,Today I watched the video where Andrei grabbed the enemy. Terrible. Glory to you Andrei and all our soldiers protecting their homeland and people. Low to you bow. God keep you. Return alive and healthy.,680470
itu mobil?.. kecil bgt jalannya,Neutral,id,0.8154298663139343,False,True,that's a car? .. really a small way,468708
خیبر میل۔اے سی سی,Neutral,pnb,0.7934867143630981,False,True,Khyber Mile. ACC,143090
"я 22 года мучался этим вопросом, наконец то узнал истину. Спасибо автору",Positive,ru,0.9994219541549683,False,True,"For 22 years I was tormented by this question, finally I recognized the truth. Thanks to the author",256820
REINSTATE THE ORIGINAL CAST,Negative,ja,0.3546764552593231,False,True,REINSTATE THE ORIGINAL CAST,526119
Hahahha,Positive,fi,0.3350803256034851,False,True,Hahahha,996904
Ugh… python…,Negative,pt,0.36122187972068787,False,True,Ugh… python…,654726
"...et pourtant il a été la vedette l'an dernier en ouverture au Festival de Cannes ! !
comme quoi notre élite artistique confond le bon grain et l'ivraie  !",Neutral,fr,0.9813100099563599,False,True,"... and yet he was the star last year at the opening at the Cannes Film Festival! !
Like what our artistic elite confuses the good grain and the tares!",76002
It’s not a 69,Negative,de,0.5802239179611206,False,True,It’s not a 69,288824
Pei lava ua lavea ile au ai Aisa e iloa atu lava i foliga gb Fast party.,Negative,ro,0.29635193943977356,False,True,Just like hit the icy team to be seen in the face GB Fast Party.,678171
REMOVE MUSIC IT IS DISTRACTING,Negative,ja,0.39043882489204407,False,True,REMOVE MUSIC IT IS DISTRACTING,304352
What’s the actual harm of this though??,Neutral,es,0.3090188205242157,False,True,What’s the actual harm of this though??,660759
"🤦erst mRNA spritzen lassen aus Solidarität, jetzt frieren mit der Ukraine aus Solidarität 🤣😂😅!? Soll ich aus Solidarität auch noch hungern, auswandern u/oder mich erschießen lassen? Das diese Politiker in EU samt ihrer durchgeknallten Propaganda Maschine komplett verblödet sind haben sie damit einmal mehr bewiesen. Macht ihr mal euren Krieg ohne uns ...",Negative,de,0.9949093461036682,True,True,"🤦Rist first mRNA sprayed out of solidarity, now freeze with Ukraine out of solidarity 🤣😂😅!? Should I also get hungry, emigration and or or let myself be shot out of solidarity? They once again demonstrated that these politicians in the EU and their crazy propaganda machine are completely stupid. Do you do your war without us ...",88411
Kanino pa kami mag titiwala kung ganyan lang din Ang nangyayari takipan lang sila,Negative,tl,0.5907288193702698,False,True,Who else can we trust if that's just the case,503326
Уже давно известно что Xiaomi копирует Ios,Neutral,ru,0.9973050951957703,False,True,It has long been known that Xiaomi copies iOS,817734
"On livre des armes à un pays pour 3liminer des sans voix, le protecteur des sans voix reagira toujours d'une autre maniere.",Neutral,fr,0.9972461462020874,False,True,"We deliver weapons to a country to 3 -like speechless, the protector of the speech will always react from another way.",709814
LOVE IT PRAYING FOR PETE,Positive,ja,0.29680752754211426,False,True,LOVE IT PRAYING FOR PETE,980241
Soldaat!,Neutral,et,0.3911385238170624,False,True,Soldier!,847853
Dimo nakikita ang Bomba na pinapakawalan Ng Israhell at dosedosenang civilian ang patay samantalang may ceasefire na agreement.,Negative,tl,0.4996313750743866,False,True,Dimo is seen by the bomb that Israhell is released and divilians are dead while a ceasefire agreement.,89974
병주구 약주구,Neutral,ko,1.0000357627868652,True,True,Byeongju -gu Yakju -gu,869519
BIGJENNYBIG,Neutral,ja,0.3584388792514801,False,True,Bigennybig,609886
ma lahore sa hu,Neutral,hr,0.18648624420166016,False,True,at a silence sau,1030936
"Talvez las cazan para comerlas.
En el Asia son un “delicatessen”.",Neutral,es,0.9222762584686279,False,True,"They may hunt them to eat them.
In Asia they are a ""delicatessen.""",308363
I’m hearing onion,Neutral,ru,0.4100838303565979,False,True,I’m hearing onion,508219
Пять минут- полёт нормальный!!!!,Positive,ru,0.9986022114753723,False,True,"Five minutes, the flight is normal !!!!",53719
"Этот парень был из тех, кто просто любит клей.",Neutral,ru,0.9999877214431763,False,True,This guy was one of those who just like glue.,659422
warum sperrt mann otter in einen käfig 😡,Negative,de,0.9864991307258606,True,True,Why is man otter locks into a cage 😡,530719
❤,Positive,bg,0.9654127359390259,True,True,,954554
"Ang sakit sa puso , she still a baby  herself , pero laban lang baby kayang kaya mo yan",Positive,tl,0.4672226309776306,False,True,"Heart disease, she still a baby herself, but it's just a baby you can afford it",654203
-420 83 - 96,Neutral,fr,0.1289415806531906,False,True,-420 83 - 96,517055
Рука то плавает,Neutral,ru,0.9991851449012756,False,True,The hand floats,595485
Visual studio! Nooooooooooo,Negative,it,0.5484253168106079,False,True,Visual studio! Nooooooooooo,291923
Tá de criativo,Neutral,ca,0.9156352877616882,False,True,It's creative,136906
Ok,Neutral,it,0.41884079575538635,False,True,Ok,819520
В конце должен быть звук выстрела,Neutral,ru,0.9980384111404419,False,True,At the end there should be the sound of a shot,714038
"это не глюк матрицы. это подгружается сюжетная линия к моменту события, чтобы заранее не грузить ресурсы (отрисовка встречных машин не нужна, когда вы не обгоняете). Поиграйте в GTA - когда вам нужно уезжать от полиции все светофоры красные и куча машин на дорогах",Neutral,ru,0.999127209186554,False,True,"This is not a glitch of the matrix. This is loaded by the storyline by the time of the event, so as not to load resources in advance (drawing oncoming cars is not needed when you do not overtake). Play GTA - when you need to leave the police all the traffic lights are red and a bunch of cars on the roads",921853
Soy MUY FAN de este tipo. Es un crack!,Positive,es,0.9529442191123962,False,True,I am very fan of this type. It's a crack!,133847
"NO, YOU'RE WELCOME?",Negative,ja,0.30422669649124146,False,True,"NO, YOU'RE WELCOME?",215056
NICE VIDEO ON JAVASCRIPT.,Positive,ja,0.4124670624732971,False,True,NICE VIDEO ON JAVASCRIPT.,596400
https://youtu.be/L-3WCKnTBX8?si=pzuNu9FAbxz3R1P8,Neutral,de,0.20036476850509644,False,True,https://youtu.be/L-3WCKnTBX8?si=pzuNu9FAbxz3R1P8,927302
Caiu com classe kkkkk😂,Neutral,pt,0.8535489439964294,True,True,Fell with kkkkk class,408710
Hadashot kazav 1692-1693,Neutral,it,0.14558780193328857,False,True,Hadashot Kazav 1692-1693,676993
Best❤,Positive,nl,0.8811290264129639,True,True,Best❤,651984
No,Negative,es,0.875447690486908,False,True,No,824351
Sterling a starrr,Positive,pt,0.16095735132694244,False,True,Sterling a starrr,180022
"Trapné,  ocikane a  fekalne slipy tam necha🙈",Negative,pl,0.5165665745735168,True,True,"Embarrassing, ocikane and fakilly briefs there lets there🙈",894053
Quesque sais moche comme voiture niveau designe,Negative,fr,0.9644914269447327,False,True,What know ugly as a designer level car,747593
老师,Neutral,zh,0.9870566725730896,True,True,teacher,513578
YesForCrashCourse,Neutral,zh,0.265759140253067,False,True,YesForCrashCourse,893266
Reflections...,Neutral,pt,0.26497265696525574,False,True,Reflections...,488821
shamanali,Neutral,it,0.4269668757915497,False,True,shamanali,737471
Tamayan Gawin na kaagadyan,Positive,tl,0.256008118391037,False,True,Sweetheart to do that immediately,23951
ウクライナに栄光あれ。,Positive,ja,0.9999971985816956,True,True,Glory to Ukraine.,841656
Right niya yan dalhin sa court alam namn na ang affidavit,Neutral,tl,0.8359967470169067,False,True,He is right to take that to court knowing that the affidavit is,197006
"Про меньшее употребление алкоголя , - это конечно правда) зачем он нужен , если нар*котики в открытом доступе)) сейчас даже тренд пошел про то, что почему зумеры хуже выглядят более старших поколений)",Neutral,ru,0.9981921315193176,False,True,About the smaller consumption of alcohol - this is of course true) Why is it needed if the nar*cats are in the public domain)) Now even the trend has gone about the fact that why the guromers look worse than older generations),747168
Tama kyo ma'm castro ipagpatuloy ninyo ang mgandang hangarin ninyu s bayan kyo n lng ang inaasahan ng bayan.ingat lagi.,Positive,tl,0.7836700081825256,False,True,You are right Castro you will continue to seek your homeowner in your hometown of the people.,447202
Я конечно не специалист в толстых проводах но не проще поставить гидрофобный прокалывающий орех?,Neutral,ru,0.9967244863510132,False,True,"Of course, I am not a specialist in thick wires, but not easier to put a hydrophobic puncture nut?",950444
Kuno 1:52,Neutral,it,0.10995804518461227,False,True,Kuno 1:52,219529
Kung ako kay Marcos ipadadampot ko si DU30 🖕👎🙏,Negative,tl,0.508750855922699,True,True,If I were with Marcos I would take Du30 🖕👎🙏,291164
The wok,Neutral,pl,0.7540305852890015,False,True,The wok,397661
Impeach SARAH!!!! KAHIT ANONG PALIWANAG NYO KITANG KITA NA PUMAPANIG KAYO SA MASAMA!,Negative,ja,0.18060056865215302,False,True,Impeach Sarah !!!! Whatever explanation you see is that you side with the evil!,637855
Hindi na naman natin siya masisisi kasi lahat ng tao nagkakamali alagaan mo na lang ang baby mo❤❤,Neutral,tl,0.9397225975990295,True,True,We can't blame him anymore because everyone is mistaken just take care of your baby,1024556
"Hindi nagsisinungaling si fprrd,",Positive,tl,0.197953462600708,False,True,"FPRRD does not lie,",996720
